Waf: Entering directory `/home/zsh/example/build'
Waf: Leaving directory `/home/zsh/example/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.251s)
42.0011 0 37 100 
42.0027 0 55 100 
42.0045 0 37 100 
42.0096 0 55 100 
42.0111 0 37 100 
42.0196 0 55 100 
42.0211 0 37 100 
42.0296 0 55 100 
42.0311 0 37 100 
42.0396 0 55 100 
42.0411 0 37 100 
42.0496 0 55 100 
42.0511 0 37 100 
42.0596 0 55 100 
42.0611 0 37 100 
42.0696 0 55 100 
42.0711 0 37 100 
42.1015 0 55 100 
42.1032 0 37 100 
42.2015 0 55 100 
42.2032 0 37 100 
42.3015 0 55 100 
42.3034 0 37 100 
42.4015 0 55 100 
42.4033 0 37 100 
42.5015 0 55 100 
42.5044 0 11 100 
42.5075 0 40 100 
42.5144 0 11 100 
42.5159 0 40 100 
42.5244 0 11 100 
42.5259 0 40 100 
42.5344 0 11 100 
42.5359 0 40 100 
42.5444 0 11 100 
42.5459 0 40 100 
42.5544 0 11 100 
42.5559 0 40 100 
42.5644 0 11 100 
42.5659 0 40 100 
42.5744 0 11 100 
42.5759 0 40 100 
42.5844 0 11 100 
42.5859 0 40 100 
42.5944 0 11 100 
42.5959 0 40 100 
42.6 0 16 100 
42.6044 0 11 100 
42.6059 0 40 100 
42.6144 0 11 100 
42.6159 0 40 100 
42.6244 0 11 100 
42.6259 0 40 100 
42.6344 0 11 100 
42.6359 0 40 100 
42.6444 0 11 100 
42.6459 0 40 100 
42.6544 0 11 100 
42.6559 0 40 100 
42.6644 0 11 100 
42.6659 0 40 100 
42.7 0 85 100 
42.8 0 91 100 
42.9 0 14 100 
43 0 94 100 
43.0032 0 8 100 
43.1 0 94 100 
43.1015 0 8 100 
43.1921 0 16 100 
43.1938 0 14 100 
43.2 0 94 100 
43.2015 0 8 100 
43.3 0 94 100 
43.3015 0 8 100 
43.3927 0 44 100 
43.3944 0 35 100 
43.3991 0 85 100 
43.4 0 94 100 
43.4007 0 44 100 
43.4015 0 8 100 
43.4025 0 35 100 
43.5 0 94 100 
43.5015 0 8 100 
43.5061 0 55 100 
43.5078 0 37 100 
43.6 0 94 100 
43.7 0 94 100 
43.8 0 94 100 
43.9 0 94 100 
44 0 94 100 
44.1 0 94 100 
44.2 0 94 100 
44.3 0 20 100 
44.4 0 16 100 
44.4775 0 46 100 
44.4792 0 39 100 
44.4875 0 46 100 
44.489 0 39 100 
44.4975 0 46 100 
44.499 0 39 100 
44.5015 0 44 100 
44.5032 0 35 100 
44.5075 0 46 100 
44.509 0 39 100 
44.5534 0 8 100 
44.5565 0 94 100 
44.5634 0 8 100 
44.5649 0 94 100 
44.5734 0 8 100 
44.5749 0 94 100 
44.5834 0 8 100 
44.5849 0 94 100 
44.5934 0 8 100 
44.5949 0 94 100 
44.6 0 94 100 
44.6034 0 8 100 
44.6049 0 94 100 
44.6134 0 8 100 
44.6149 0 94 100 
44.6234 0 8 100 
44.6249 0 94 100 
44.6334 0 8 100 
44.6349 0 94 100 
44.6434 0 8 100 
44.6449 0 94 100 
44.6534 0 8 100 
44.6549 0 94 100 
44.6634 0 8 100 
44.6649 0 94 100 
44.6734 0 8 100 
44.6749 0 94 100 
44.6834 0 8 100 
44.6849 0 94 100 
44.6934 0 8 100 
44.6949 0 94 100 
44.7 0 20 100 
44.7034 0 8 100 
44.7049 0 94 100 
44.7134 0 8 100 
44.7149 0 94 100 
44.7234 0 8 100 
44.7249 0 94 100 
44.7334 0 8 100 
44.7349 0 94 100 
44.7434 0 8 100 
44.7449 0 94 100 
44.7534 0 8 100 
44.7549 0 94 100 
44.7634 0 8 100 
44.7649 0 94 100 
44.7734 0 8 100 
44.7749 0 94 100 
44.7834 0 8 100 
44.7849 0 94 100 
44.7934 0 8 100 
44.7949 0 94 100 
44.8 0 94 100 
44.8034 0 8 100 
44.8049 0 94 100 
44.8134 0 8 100 
44.8149 0 94 100 
44.8234 0 8 100 
44.8249 0 94 100 
44.8319 0 16 100 
44.8334 0 8 100 
44.8335 0 80 100 
44.8349 0 94 100 
44.8434 0 8 100 
44.8449 0 94 100 
44.8534 0 8 100 
44.8549 0 94 100 
44.8634 0 8 100 
44.8649 0 94 100 
44.8734 0 8 100 
44.8749 0 94 100 
44.8834 0 8 100 
44.8849 0 94 100 
44.8934 0 8 100 
44.8949 0 94 100 
44.9 0 20 100 
44.9034 0 8 100 
44.9049 0 94 100 
44.9134 0 8 100 
44.9149 0 94 100 
45.0015 0 80 100 
45.1 0 94 100 
45.1291 0 20 100 
45.1307 0 45 100 
45.1391 0 20 100 
45.1406 0 45 100 
45.1491 0 20 100 
45.1506 0 45 100 
45.1512 0 45 100 
45.1529 0 55 100 
45.1548 0 37 100 
45.1612 0 45 100 
45.1627 0 55 100 
45.1645 0 37 100 
45.1712 0 45 100 
45.1727 0 55 100 
45.1744 0 37 100 
45.2 0 94 100 
45.3 0 94 100 
45.4015 0 45 100 
45.4032 0 55 100 
45.4049 0 37 100 
45.5 0 94 100 
45.6 0 94 100 
45.7 0 94 100 
45.8015 0 45 100 
45.9015 0 80 100 
46.0015 0 44 100 
46.0032 0 35 100 
46.1 0 91 100 
46.2 0 94 100 
46.2532 0 35 100 
46.2547 0 44 100 
46.3 0 94 100 
